cage,trtmnt,Acanthinucella spirata,Adula diegensis,algae,Amage auricula,amphipod,annelid,Anthopleura,Assiminea californica,Chaetopterus,Chlorostoma funebralis,Cirolana,clam,Cyanoplax dentiens,Cyanoplax hartwegii,Epitonium tinctum,Eulithidium pulloides,Halosydna brevisetosa,Harfordia,Idotea,Lacuna,Limonia marmorata,Littorina,Lottia,Modiolus,Mopalia muscosa,Neolepton,Nereis,Nuttalina californica,Pachygrapsus crassipes,Pagurus,Petrolisthes cinctipes,Phascolosoma agassizii,Pseudoalloioplana,Pugettia,Pycnogonida,Septifer bifurcatus,Serpula,unknown Cerithioidea,unknown Littorinidae,unknown snail 1
A03,CC,0.0452,0,17.9804,0,0.0525,0.055,1.4097,0.002,0,13.2914,0,0.0313,0,0.0036,0,0,0,0,0.0027,0.0826,0,1.3833,1.5436,0,0.303,0,1.2882,0,4.9745,0,0.0048,0,0,0,0,3.6161,0,0,0,0
A04,LOM,0.2146,0,0.445,0,0.0082,0.4215,3.3583,0,0,34.7129,0,0.04,0,0,0,0,0,0,0,0,0,0.1784,0.8119,0,0,0,0,0,2.5575,0,0.0786,0,0,0.0392,0,1.2959,0,0,0,0
A05,SOB,0,0,0.9309,0,0.012,0.0033,0.7372,0,0,11.8781,0,0,0,0,0.0122,0,0,0,0.0012,0.0165,0,0.6895,1.4315,0,0,0,1.6183,0,3.6703,0.0026,0,0,0,0,0,0,0,0,0,0
A06,HOP,0,0,1.1793,0,0.009,0,4.6285,0,0,17.7309,0,0,0,0,0,0.0163,0,0,0,0,0,0.4732,2.1554,0,0,0,1.5945,0,2.3784,0,0,0,0,0,0,0,0,0,0,0
A07,LOM,0,0,0.7704,0,0.0095,0.006,2.079,0,0,19.3589,0,0,0,0,0,0.0115,0,0,0,0,0,0.2127,2.4507,0,0,0,0.7025,0,4.8846,0,0,0,0,0,0,0,0.0097,0,0,0
A08,CC,0.2233,0,0.5412,0,0.0207,0.1082,2.7748,0,0,36.9786,0.0076,0,0,0,0,0,0,0,0,0.042,0,1.3197,1.391,0,0,0,0.1814,0,4.3062,0.0403,0,0,0,0,0.0017,0,0,0,0,0
A09,LOM,0,0,0.2896,0,0.0163,0,1.2942,0,0.0293,30.5099,0.0287,0,0,0,0,0,0,0,0.0026,0,0,0.4217,1.8176,0.7024,0,0,1.3284,0,6.7351,0,0,0,0,0,0,0,0.0063,0,0,0
A10,HOP,0.0483,0,0.0147,0,0.0142,0.0694,2.0689,0,0,21.5066,0,0,0,0,0,0,0,0,0,0.0374,0,1.1391,3.4667,0,0,0,0.8461,0,4.7995,0,0,0,0,0,0,0.1026,0.0229,0.0344,0,0
A11,CC,0,0,0.1033,0,0.0081,0,1.7461,0,0,19.4381,0,0.0036,0,0,0,0.006,0,0,0.0059,0.0178,0,0.5068,1.0285,0,0,0,0.0284,0,6.1934,0,0,0,0,0,0,0,0,0,0,0
A12,SOB,0.2867,0.0057,0.5945,0,0.0125,0.0748,1.0317,0,0.0391,8.7738,0,0,0,0,0.0275,0,0,0,0,0.0287,0,1.098,2.0186,0,0,0.002,1.2381,1.5245,2.3771,0,0,0,0,0,0.0028,0,0,0,0,0
A13,LOM,0,0,1.1617,0,0.011,0.0184,0.8032,0,0,16.3999,0.146,0,0,0.444,0,0,0,0,0.1013,0.01,0,0.8716,0.96,0,0,0,0.637,0,2.6193,0,0,0.0791,0,0,0,0,0.0789,0,0,0
A14,CC,0,0,1.3235,0,0.0158,0,0.5684,0.0017,0,13.3258,0.0232,0,0,0,0,0,0,0,0.0213,0.0514,0,3.0326,0.9476,0,0.2172,0,0.0264,0,1.2005,0,0,0,0,0,0,0,0,0,0,0
A15,SOB,0,0,0.3896,0,0.0438,0,0.4661,0,0,15.7189,0.0675,0,0,0,0,0,0,0,0,0,0,0.6241,0.9412,0,0,0,0,0,1.6323,0,0,0,0,0,0,0,0.0045,0,0,0
A16,HOP,0,0,0,0,0.0231,0,0.7215,0,0,25.4166,0,0,0,0,0,0,0,0,0.0077,0,0,0.4431,2.3129,0,0,0,0.3853,0,1.4723,0,0,0,0,0,0,0.1506,0,0,0,0
B03,HOP,0,0,5.0242,0,0.1049,0.0848,3.0433,0,0,10.6893,0.0205,0,0,0,0.0082,0,0,0,0.015,0.0297,0,0.8626,2.5777,0,0,0,0.2772,0,2.4497,0,0,0.008,0,0,0,0,0,0,0,0
B04,SOB,0.0235,0,0.766,0.0097,0.091,0.0397,2.0499,0,0,17.7629,0.006,0,0,0,0,0,0,0,0,0.0935,0,1.5938,1.6096,0,0,0,1.7832,0,1.2011,0,0.3828,0,0,0,0,0.3459,0,0,0,0
B05,LOM,0.4173,0,1.7318,0,0.0038,0.0477,0,0,0,5.986,0,0,0,0,0,0,0,0,0,0.0694,0,1.6099,1.7511,0,0,0,0.8466,0,1.2703,0,0,0,0,0.01,0,0.9065,0,0,0,0.032
B06,CC,0,0,3.7627,0,0.0102,0.0055,1.5244,4.00E-04,0,11.2779,0.0328,0.004,0,0,0.0164,0,0,0,0,0.1076,0,0.5402,1.08,0,0,0,0.8469,0,1.8318,0,0,0,0,0,0,0.0516,0.0014,0,0,0
B07,SOB,0,0,0.7933,0,0.0224,0.0545,0.4162,0.0022,0,11.6023,0,0.0031,0,0,0,0,0,0,0,0.0399,0,1.4005,2.1294,0,0,0,0.4052,0,2.5255,0,0,0.1508,0,0,0,0.7797,0.0076,0,0.0174,0
B08,HOP,0.2698,0,1.4681,0,0.0364,0.0586,0.3932,0.0064,0,21.881,0.0524,0.9711,0,0,0,0,0,0.0261,0,0.122,0,1.9434,4.3676,0,0,0,2.1729,0,2.2445,0,0,0.0748,0,0,0,0.7755,0,0,0.0055,0
B09,CC,0,0,0,0,0.006,0,2.8836,0,0.1559,26.3332,0,0.0019,0.0011,0,0.0321,0.0047,0,0,0,0.0294,0,1.1476,1.0948,0,0,0,0,0,7.0113,0,0,0,0,0,0,3.8102,0,0,0.022,0
B10,SOB,0.0623,0,0,0,0.0141,0.0042,0.8123,0,0,11.9957,0,0,0,0,0,0,0,0,0.0331,0.0018,0,1.8449,1.1716,0,0,0,1.0674,0,2.4948,0,0,0.0442,0,0,0,0,0,0,0,0
B11,LOM,0,0,2.3607,0,0.0133,0.011,1.2554,0.0059,0,12.7097,0,0,0,0,0,0.0063,0,0,0,0.024,0,1.2547,1.7688,0,0,0,0.3972,0,3.1949,0,0,0,0,0,0,0,0,0,0,0
B12,HOP,0.7969,0,0,0,0.0766,0.0827,2.3921,0,0,9.058,0.017,0,0,0,0,0.0094,0,0,0,0.0238,0,1.8603,1.1677,0,0,0,1.7787,0,1.2872,0,0,0,0,0,0,0,0.011,0,0,0
B13,HOP,0,0,0.1234,0,0.0177,0.0186,0.7,0.0011,0,16.551,0,0,0,0,0,0.0073,0,0,0,0.009,0,0.6947,0.8981,0,0,0,0,0,2.3703,0,0,0,0,0,0,0,0.0134,0,0,0
B14,SOB,0.0586,0,0.8336,0,0.004,0,2.308,0.0065,0,29.1492,0,0.0011,0,0,0,0,0.0759,0,0,0.0424,0,1.0168,0.9988,0,0,0,0.0387,0,0.8089,0,0,0,0,0,0,0,0,0,0,0
B15,LOM,0,0,0.497,0,3.00E-04,0.0047,6.0208,0,0,14.8194,0,0,0,0.3061,0,0,0,0,0,0,0,0.6658,1.32,0,0,0,1.5173,0,2.2335,0.3252,0,0,0,0,0,0,0,0,0,0
B16,CC,0,0,4.8147,0,0.0013,0.1161,0.4181,3.00E-04,0,8.846,0.0776,0.0132,0,0,0,0,0,0,0,0.0212,0.0056,0.8839,0.451,0.1249,0,0,0,0,3.5034,0,0,0,0,0,0,0.3538,0.0039,0,0,0
C13,CC,0,0,0,0,0.0193,0,0.2292,0.0011,0,8.7581,0.0093,0,0,0,0,0,0,0,0,0.0069,0,1.6579,0.9152,0,0,0,0.0498,0,2.5444,0,0.0048,0,0,0,0,0,0,0,0,0
C14,HOP,0,0,0,0,0.0017,0.0404,0.2331,0.015,0,11.1514,0.0286,0.0565,0,0,0,0,0,0,0,0.2325,0,1.2855,0.2968,0,0,0,1.5872,0,1.0378,0,0,0,0,0,0,0.1631,0,0,0,0
C15,LOM,0,0,0,0,0.0096,0.0825,1.1607,0,0,13.9193,0.0589,0,0,0,0,0,0,0,0,0,0,0.9205,0.7681,0.1001,0,0,0.3752,0,3.4567,0,0.3534,0,0.0095,0,0,0,0,0,0,0
C16,SOB,0,0,2.8261,0,0,0.0324,0.3358,0,0,10.0375,0.104,0.0107,0,0,0,0,0,0,0,0.0152,0.0063,0.6902,0.5982,0,0,0,0.3474,0,0.5871,0,0,0,0,0,0.0053,0,0,0,0,0