plot,trtmnt,mean.dogwhelk.len,N.total.mussel,drilled.mean,N.drilled,sd.drilled,se.drilled,mean.loose.len,N.loose,remain.mean,N.rem,algae.cover,drilled.min,drilled.10th,drilled.25th,drilled.50th,drilled.75th,drilled.90th,drilled.max,remain.min,remain.10th,remain.25th,remain.50th,remain.75th,remain.90th,remain.max
A03,Control,19.5881982,480,21.22,8,9.137351914,3.23054175,NA,0,19.46145631,472,43.57474978,12.48,13.488,14.67,17.525,26,33.512,37.53,2.06,6.08,9.135,16.2,25.27,31.79,79.71
A04,LOM,27.76734375,180,36.77909091,22,17.4252116,3.715067595,49.203125,16,24.01459184,142,8.770145793,11.85,17.644,21.525,34.27,55.135,62.373,64.08,2.13,4.222,6.395,20.31,41.8225,59.45,87.37
A05,SOB,22.76561151,291,37.77206897,29,20.0015268,3.714190282,52.49266667,15,16.56548077,247,8.011191501,6.37,17.68,22.71,28.36,55.24,64.846,70.85,2.24,3.607,5.9825,15.02,29.355,54.286,70.03
A06,HOP,22.84872881,233,23.83173913,23,7.97405546,1.662705502,39.03,1,22.43606383,209,11.87102139,9.26,13.002,18.635,24.15,27.725,35.032,39.36,2.07,4.549,7.9525,18.305,28.5225,50.626,87.92
A07,LOM,27.64259259,202,50.2152,25,21.59770399,4.319540798,73.685,10,19.12436893,167,7.13402748,11.4,21.986,34.71,56.15,65.2,76.382,80.81,2.46,3.941,5.9675,13.785,41.645,66.1,88.63
A08,Control,15.65097087,341,9.1,3,0.38509739,0.222336082,NA,0,15.8475,338,7.528503148,8.72,8.794,8.905,9.09,9.29,9.41,9.49,2.18,3.85,5.025,8.53,13.72,57.708,82.54
A09,LOM,23.59645161,438,40.43043478,23,24.65963402,5.141889138,47.47125,8,18.6242268,407,3.179741507,12.16,13.072,19.19,29.99,66.995,69.282,88.82,3.16,4.628,7.5275,15.995,29.1975,60.952,88.82
A10,HOP,21.53081967,434,28.84666667,18,13.40678625,3.160009825,41.75,4,19.72742574,412,2.683243751,8.6,17.721,21.5725,25.75,32.51,52.661,57.84,2.42,4.14,7.45,17.31,28.53,52.04,68.6
A11,Control,21.72401961,280,12.905,2,0.219203102,0.155,NA,0,21.9004,278,1.111691592,12.75,12.781,12.8275,12.905,12.9825,13.029,13.06,2.38,4.538,7.065,15.965,29.2625,50.191,84.34
A12,SOB,26.07860465,249,31.51846154,26,18.01265482,3.532572246,65.58833333,6,23.4703,217,6.622319099,9.54,16.93,19.1975,25.765,38.355,60.4,75.1,1.98,3.62,8.0525,20.51,32.5775,59.025,85.74
A13,LOM,22.56486726,245,34.703,10,25.17141194,7.959899364,54.776,5,20.5316,230,15.64876318,10.31,17.744,19.6225,26.225,34.47,67.453,92.95,2.76,4.74,6.78,12.87,29.18,58.07,93.19
A14,Control,14.50192308,435,11.3125,4,3.675435348,1.837717674,NA,0,14.6295,431,12.8602966,6.32,7.811,10.0475,11.94,13.205,14.312,15.05,1.79,3.063,4.595,7.675,20.0875,35.189,65.33
A15,SOB,21.05973684,339,41.73166667,12,19.07846231,5.507477676,25.855,2,18.55792079,325,3.857632142,16.39,20.843,25.9325,37.835,60.4475,65.102,73.86,1.52,4.086,6.91,11.78,27.55,59.774,90.14
A16,HOP,24.42731884,367,31.33375,32,18.51946922,3.273810568,45.61083333,12,21.0186,323,1.840730355,8.39,13.163,18.855,24.955,34,59.661,73.09,2.86,5.693,7.7825,17.835,31.89,55.237,78.14
B03,HOP,23.83060345,303,27.766875,16,15.29176934,3.822942335,48.7,2,23.2008,285,24.95180031,11.07,15.66,18.145,23.21,28.295,48.7,69.07,2.42,4.33,8.8975,18.14,27.495,57.807,72.29
B04,SOB,19.86875969,712,25.41090909,22,15.72423059,3.352417226,29.115,10,18.01811881,680,5.107434858,7.53,11.624,12.62,19.075,34.6625,52.464,53.5,2.42,4.384,9.04,16.32,28.09,37.036,53.5
B05,LOM,18.24414286,927,30.36285714,21,12.00586363,2.619894231,37.06181818,11,15.30596491,895,6.96831215,9.13,16.72,21.95,27.27,40.17,42.71,58.04,2.33,5.149,7.705,14.05,23.52,35.499,57.91
B06,Control,18.41673077,712,26.03,1,NA,NA,NA,0,18.34281553,711,36.98430091,26.03,26.03,26.03,26.03,26.03,26.03,26.03,2.62,6.119,9.115,16.46,25.38,31.54,69.75
B07,SOB,20.45813333,631,26.63847826,46,15.36129682,2.264899652,54.50857143,7,16.2551,578,5.735640956,5.95,11.18,15.7775,22.615,35.05,51.01,62.89,2.33,5.584,9.625,15.89,26.035,43.35,62.49
B08,HOP,18.06650794,541,25.72862069,29,16.79044472,3.11790731,56.3,4,15.7757732,508,16.42193146,7.81,10.194,13.53,18.65,30.55,57.286,59.7,2.22,5.451,8.42,13.21,22.64,33.151,68.19
B09,Control,17.22921569,358,10.605,2,0.021213203,0.015,NA,0,17.3617,356,12.71759235,10.59,10.593,10.5975,10.605,10.6125,10.617,10.62,2.59,4.161,4.9125,10.855,23.885,38.485,72.99
B10,SOB,20.28140625,510,34.43185185,27,21.33985402,4.106856821,66.1575,4,16.0917,479,2.971565751,7.84,13.144,18.845,23.88,52.595,67.622,75.24,2.35,4.98,7.84,14.6,26.62,44.18,67.82
B11,LOM,18.82453237,620,25.82333333,36,14.24328293,2.373880488,49.74,4,15.3613,580,12.49725084,9.68,13.32,16.6875,21.665,26.8825,50.79,61.94,1.49,3.621,6.2025,14.46,24.3375,46.74,61.94
B12,HOP,19.34159664,427,27.53315789,19,15.33847198,3.518886807,NA,0,17.7852,408,5.805525868,12.86,16.214,17.805,23.56,30.42,50.33,68.24,2.1,5.052,9.03,16.74,24.515,35.576,68.47
B13,HOP,22.83838462,290,30.47,26,15.79969569,3.098575256,56.755,10,18.59835052,254,1.565454895,13.3,15.755,20.5625,26.92,33.2875,47.91,84.45,2.58,4.306,6.74,15.39,29.96,53.162,84.62
B14,SOB,22.96085106,435,25.99384615,39,13.07163474,2.093136738,29.86333333,3,21.77841584,393,9.61325213,9.55,15.976,17.86,22.84,30.695,40.204,79.95,3.29,6.03,10.585,18.62,28.88,43.074,79.95
B15,LOM,27.67503597,150,36.41970588,34,18.35299686,3.147512995,64.388,5,24.84342857,111,7.408638238,14.82,16.977,23.825,31.24,43.55,68.566,74.6,2.34,4.293,7.4175,20.745,39.5725,60.332,87.71
B16,Control,18.9225,591,22.936,5,21.04266214,9.410564595,27.37916667,12,18.1191,574,43.40308945,10.81,11.15,11.66,13,19.08,43.71,60.13,2.36,5.066,7.495,13.58,25.685,42.392,60.25
C13,Control,18.57257143,742,12.81,5,4.265729715,1.907692323,NA,0,18.8607,737,21.90590663,8.65,9.27,10.2,12.23,13.22,17.138,19.75,2.07,4.028,6.79,14.92,25.28,40.526,64.29
C14,HOP,15.5389313,1122,23.59285714,14,11.05251828,2.953909763,28.86666667,3,14.19912281,1105,13.56506696,10.14,12.107,16.42,20.95,30.415,41.141,41.81,2.12,3.95,5.76,11.9,21.375,33.98,50.29
C15,LOM,25.01929078,257,30.0895,40,16.36551533,2.587615176,67.4375,4,22.5967,213,11.01783665,11.54,14.251,18.56,25.91,33.9275,55.771,70.36,1.98,5.953,10.19,19.44,32.915,54.074,73.96
C16,SOB,16.32656077,713,24.95333333,33,10.43290248,1.816135209,35.08,10,15.79127007,670,35.78192246,8.94,15.12,17.81,22.82,28.76,43.292,51.42,2.35,5,7.19,12.675,21.3725,33.366,55.07